Vandportalen - www.vandportalen.dk
Lokalitet:;22.36 Storå, Ved Gl. Grydholt
Tidsserie:;Vandføring, Døgnmiddel (DMP)
Drives af Miljøstyrelsen
Dataperiode:;01-01-1917 00:00 - 12-10-2024 23:59 ( UTC +01:00:00 )
ks mrk.:;0= ikke-korrigerede data (rådata)
;1= data udtyndet for outliers
;2= kvalitetskontrolleret data
Udtræksdato: ;07-10-2024 09:14

WSP og dataleverandører til Vandportalen kan ikke drages til ansvar for målingernes rigtighed.

Dato (DK normaltid);Vandføring, Døgnmiddel (DMP) (l/s);ks mrk.
15-04-2004 00:00;7379.447;2
16-04-2004 00:00;7200.689;2
17-04-2004 00:00;7035.989;2
18-04-2004 00:00;6952.490;2
19-04-2004 00:00;6983.381;2
20-04-2004 00:00;7667.848;2
21-04-2004 00:00;7829.925;2
22-04-2004 00:00;7370.380;2
23-04-2004 00:00;7028.409;2
24-04-2004 00:00;6808.347;2
25-04-2004 00:00;6616.112;2
26-04-2004 00:00;6839.016;2
27-04-2004 00:00;8849.540;2
28-04-2004 00:00;8737.203;2
29-04-2004 00:00;7784.601;2
30-04-2004 00:00;7249.499;2
01-05-2004 00:00;6890.846;2
02-05-2004 00:00;6644.070;2
03-05-2004 00:00;6497.263;2
04-05-2004 00:00;6591.626;2
05-05-2004 00:00;7007.345;2
06-05-2004 00:00;7486.687;2
07-05-2004 00:00;7158.163;2
08-05-2004 00:00;6725.057;2
09-05-2004 00:00;6715.210;2
10-05-2004 00:00;6437.444;2
11-05-2004 00:00;6271.871;2
12-05-2004 00:00;6100.746;2
13-05-2004 00:00;5982.362;2
14-05-2004 00:00;5826.881;2
15-05-2004 00:00;5766.030;2
16-05-2004 00:00;5769.109;2
17-05-2004 00:00;5513.284;2
18-05-2004 00:00;5417.898;2
19-05-2004 00:00;5330.206;2
20-05-2004 00:00;5194.515;2
21-05-2004 00:00;5063.080;2
22-05-2004 00:00;4951.053;2
23-05-2004 00:00;5130.681;2
24-05-2004 00:00;4921.728;2
25-05-2004 00:00;4796.780;2
26-05-2004 00:00;4690.414;2
27-05-2004 00:00;4678.739;2
28-05-2004 00:00;4560.517;2
29-05-2004 00:00;4446.885;2
30-05-2004 00:00;4309.714;2
31-05-2004 00:00;4233.639;2
01-06-2004 00:00;4116.393;2
02-06-2004 00:00;4040.338;2
03-06-2004 00:00;3952.244;2
04-06-2004 00:00;3952.918;2
05-06-2004 00:00;4076.448;2
06-06-2004 00:00;3892.764;2
07-06-2004 00:00;3887.534;2
08-06-2004 00:00;4342.114;2
09-06-2004 00:00;4140.312;2
10-06-2004 00:00;4030.347;2
11-06-2004 00:00;4058.736;2
12-06-2004 00:00;5003.664;2
13-06-2004 00:00;4342.152;2
