Vandportalen - www.vandportalen.dk
Lokalitet:;430152 Kragelund Møllebæk, Kragelund Møllebæk
Tidsserie:;Vandføring, Døgnmiddel (DMP)
Drives af Miljøstyrelsen
Dataperiode:;01-01-1917 00:00 - 04-10-2024 23:59 ( UTC +01:00:00 )
ks mrk.:;0= ikke-korrigerede data (rådata)
;1= data udtyndet for outliers
;2= kvalitetskontrolleret data
Udtræksdato: ;03-10-2024 07:00

WSP og dataleverandører til Vandportalen kan ikke drages til ansvar for målingernes rigtighed.

Dato (DK normaltid);Vandføring, Døgnmiddel (DMP) (l/s);ks mrk.
01-01-2017 00:00;42.134;2
02-01-2017 00:00;38.085;2
03-01-2017 00:00;38.344;2
04-01-2017 00:00;47.557;2
05-01-2017 00:00;38.008;2
06-01-2017 00:00;36.757;2
07-01-2017 00:00;35.930;2
08-01-2017 00:00;36.261;2
09-01-2017 00:00;37.768;2
10-01-2017 00:00;41.769;2
11-01-2017 00:00;58.688;2
12-01-2017 00:00;71.130;2
13-01-2017 00:00;61.880;2
14-01-2017 00:00;52.965;2
15-01-2017 00:00;47.324;2
16-01-2017 00:00;41.707;2
17-01-2017 00:00;37.386;2
18-01-2017 00:00;37.509;2
19-01-2017 00:00;39.222;2
20-01-2017 00:00;39.852;2
21-01-2017 00:00;39.660;2
22-01-2017 00:00;39.456;2
23-01-2017 00:00;39.492;2
24-01-2017 00:00;38.599;2
25-01-2017 00:00;37.263;2
26-01-2017 00:00;37.107;2
27-01-2017 00:00;38.007;2
28-01-2017 00:00;37.624;2
29-01-2017 00:00;38.272;2
30-01-2017 00:00;40.120;2
31-01-2017 00:00;40.160;2
01-02-2017 00:00;39.543;2
02-02-2017 00:00;40.451;2
03-02-2017 00:00;40.803;2
04-02-2017 00:00;41.931;2
05-02-2017 00:00;41.378;2
06-02-2017 00:00;47.694;2
07-02-2017 00:00;45.709;2
08-02-2017 00:00;43.729;2
09-02-2017 00:00;42.925;2
10-02-2017 00:00;43.034;2
11-02-2017 00:00;42.406;2
12-02-2017 00:00;40.976;2
13-02-2017 00:00;40.409;2
14-02-2017 00:00;41.074;2
15-02-2017 00:00;39.722;2
16-02-2017 00:00;42.287;2
17-02-2017 00:00;44.238;2
18-02-2017 00:00;42.762;2
19-02-2017 00:00;46.377;2
20-02-2017 00:00;46.514;2
21-02-2017 00:00;45.463;2
22-02-2017 00:00;60.075;2
23-02-2017 00:00;66.308;2
24-02-2017 00:00;103.404;2
25-02-2017 00:00;85.943;2
26-02-2017 00:00;95.689;2
27-02-2017 00:00;96.313;2
28-02-2017 00:00;95.645;2
01-03-2017 00:00;90.378;2
02-03-2017 00:00;84.300;2
03-03-2017 00:00;76.516;2
04-03-2017 00:00;75.989;2
05-03-2017 00:00;76.457;2
06-03-2017 00:00;72.670;2
07-03-2017 00:00;66.765;2
08-03-2017 00:00;65.141;2
09-03-2017 00:00;63.794;2
10-03-2017 00:00;59.075;2
11-03-2017 00:00;56.709;2
12-03-2017 00:00;55.846;2
13-03-2017 00:00;54.249;2
14-03-2017 00:00;53.206;2
15-03-2017 00:00;51.715;2
16-03-2017 00:00;51.919;2
17-03-2017 00:00;56.326;2
18-03-2017 00:00;74.832;2
19-03-2017 00:00;66.628;2
20-03-2017 00:00;78.451;2
21-03-2017 00:00;111.182;2
22-03-2017 00:00;94.137;2
23-03-2017 00:00;81.416;2
24-03-2017 00:00;71.951;2
25-03-2017 00:00;67.074;2
26-03-2017 00:00;62.809;2
27-03-2017 00:00;59.492;2
28-03-2017 00:00;57.942;2
29-03-2017 00:00;57.063;2
30-03-2017 00:00;58.069;2
31-03-2017 00:00;56.894;2
01-04-2017 00:00;54.055;2
02-04-2017 00:00;50.259;2
03-04-2017 00:00;46.896;2
04-04-2017 00:00;44.953;2
05-04-2017 00:00;44.991;2
06-04-2017 00:00;44.453;2
07-04-2017 00:00;43.899;2
08-04-2017 00:00;42.405;2
09-04-2017 00:00;40.964;2
10-04-2017 00:00;41.285;2
11-04-2017 00:00;39.279;2
12-04-2017 00:00;44.075;2
13-04-2017 00:00;41.521;2
14-04-2017 00:00;38.641;2
15-04-2017 00:00;48.802;2
16-04-2017 00:00;54.769;2
