Vandportalen - www.vandportalen.dk
Lokalitet:;45.23 Lunde å, St. 7.25 km
Tidsserie:;Vandføring, Døgnmiddel (DMP)
Drives af Miljøstyrelsen
Dataperiode:;01-01-1917 00:00 - 04-10-2024 23:59 ( UTC +01:00:00 )
ks mrk.:;0= ikke-korrigerede data (rådata)
;1= data udtyndet for outliers
;2= kvalitetskontrolleret data
Udtræksdato: ;03-10-2024 07:00

WSP og dataleverandører til Vandportalen kan ikke drages til ansvar for målingernes rigtighed.

Dato (DK normaltid);Vandføring, Døgnmiddel (DMP) (l/s);ks mrk.
01-01-2017 00:00;365.000;2
02-01-2017 00:00;350.000;2
03-01-2017 00:00;350.000;2
04-01-2017 00:00;366.468;2
05-01-2017 00:00;287.064;2
06-01-2017 00:00;260.714;2
07-01-2017 00:00;271.839;2
08-01-2017 00:00;248.360;2
09-01-2017 00:00;257.624;2
10-01-2017 00:00;276.640;2
11-01-2017 00:00;501.942;2
12-01-2017 00:00;737.469;2
13-01-2017 00:00;599.516;2
14-01-2017 00:00;465.520;2
15-01-2017 00:00;386.720;2
16-01-2017 00:00;330.310;2
17-01-2017 00:00;293.156;2
18-01-2017 00:00;283.759;2
19-01-2017 00:00;288.835;2
20-01-2017 00:00;287.978;2
21-01-2017 00:00;277.954;2
22-01-2017 00:00;264.635;2
23-01-2017 00:00;256.384;2
24-01-2017 00:00;243.322;2
25-01-2017 00:00;233.419;2
26-01-2017 00:00;228.922;2
27-01-2017 00:00;229.227;2
28-01-2017 00:00;218.312;2
29-01-2017 00:00;216.565;2
30-01-2017 00:00;223.742;2
31-01-2017 00:00;216.678;2
01-02-2017 00:00;211.386;2
02-02-2017 00:00;217.124;2
03-02-2017 00:00;217.298;2
04-02-2017 00:00;222.282;2
05-02-2017 00:00;210.940;2
06-02-2017 00:00;263.632;2
07-02-2017 00:00;242.760;2
08-02-2017 00:00;226.806;2
09-02-2017 00:00;218.076;2
10-02-2017 00:00;215.982;2
11-02-2017 00:00;207.733;2
12-02-2017 00:00;196.742;2
13-02-2017 00:00;190.924;2
14-02-2017 00:00;188.716;2
15-02-2017 00:00;186.452;2
16-02-2017 00:00;194.106;2
17-02-2017 00:00;199.209;2
18-02-2017 00:00;191.516;2
19-02-2017 00:00;215.394;2
20-02-2017 00:00;215.621;2
21-02-2017 00:00;209.791;2
22-02-2017 00:00;375.898;2
